NiO/ZnO,TGS 826,TGS 822,TGS 2600,TGS 2602,ZnO,Cr-doped ZnO,Class
1.14388,0.03261,0.16162,0.95652,0.04386,,,Acetone 1 ppm
1.12419,0.04478,0.16495,0.95652,0.04451,,,Acetone 1 ppm
1.10517,0.05882,0.16495,0.95652,0.04518,,,Acetone 1 ppm
1.08677,0.06593,0.16842,0.95652,0.04545,,,Acetone 1 ppm
1.05712,0.06667,0.17204,0.95652,0.04518,,,Acetone 1 ppm
1.02905,0.05357,0.17582,0.95652,0.04545,,,Acetone 1 ppm
1.00329,0.03922,0.17778,0.95652,0.04601,,,Acetone 1 ppm
0.9881,0.04138,0.18182,0.95652,0.04673,,,Acetone 1 ppm
0.95908,0.05085,0.19512,0.95652,0.04747,,,Acetone 1 ppm
1.0,0.06667,0.20253,0.95652,0.04839,,,Acetone 1 ppm
0.99723,0.08,0.21053,0.95652,0.04886,,,Acetone 1 ppm
0.9949,0.08824,0.21918,0.95652,0.04902,,,Acetone 1 ppm
0.98856,0.09231,0.21918,0.95652,0.04854,,,Acetone 1 ppm
0.99102,0.09375,0.22222,0.95652,0.04792,,,Acetone 1 ppm
0.98776,0.08451,0.23529,0.95652,0.04762,,,Acetone 1 ppm
0.98624,0.07229,0.25397,0.95652,0.04732,,,Acetone 1 ppm
0.98809,0.06977,0.27119,0.95652,0.04732,,,Acetone 1 ppm
0.98686,0.07143,0.28571,0.95652,0.04732,,,Acetone 1 ppm
0.9865,0.07317,0.2963,0.95652,0.04747,,,Acetone 1 ppm
0.98339,0.07317,0.30189,0.95652,0.04762,,,Acetone 1 ppm
0.98097,0.07229,0.30189,0.95652,0.04792,,,Acetone 1 ppm
0.97738,0.07143,0.30189,0.95652,0.04808,,,Acetone 1 ppm
0.97738,0.07059,0.2963,0.95652,0.04839,,,Acetone 1 ppm
0.97738,0.06897,0.2963,0.95652,0.0487,,,Acetone 1 ppm
0.97738,0.07059,0.2963,0.95652,0.04902,,,Acetone 1 ppm
0.97738,0.07407,0.2963,0.95652,0.04934,,,Acetone 1 ppm
0.97738,0.07595,0.30189,0.95652,0.04983,,,Acetone 1 ppm
0.97738,0.08,0.30189,0.95652,0.05034,,,Acetone 1 ppm
0.97738,0.08333,0.30189,0.95652,0.05085,,,Acetone 1 ppm
0.97738,0.08451,0.30769,0.95652,0.05119,,,Acetone 1 ppm
0.97738,0.08571,0.31373,0.95652,0.05137,,,Acetone 1 ppm
0.97738,0.08696,0.31373,0.95652,0.05155,,,Acetone 1 ppm
0.97738,0.08571,0.32,0.95652,0.05155,,,Acetone 1 ppm
0.97738,0.08451,0.32653,0.95652,0.05155,,,Acetone 1 ppm
0.97738,0.08333,0.33333,0.95652,0.05155,,,Acetone 1 ppm
0.97738,0.08219,0.33333,0.95652,0.05172,,,Acetone 1 ppm
0.97738,0.08219,0.34043,0.95652,0.05172,,,Acetone 1 ppm
0.97738,0.08333,0.34043,0.95652,0.0519,,,Acetone 1 ppm
0.97738,0.09375,0.34043,0.95652,0.05208,,,Acetone 1 ppm
0.97738,0.10714,0.34783,0.95652,0.05245,,,Acetone 1 ppm
0.97738,0.11321,0.34783,0.95652,0.05282,,,Acetone 1 ppm
0.97738,0.10909,0.36364,0.95652,0.05319,,,Acetone 1 ppm
0.97738,0.09836,0.39024,0.95652,0.05357,,,Acetone 1 ppm
0.98003,0.09836,0.41026,0.95652,0.05396,,,Acetone 1 ppm
0.96734,0.1,0.42105,0.95652,0.05435,,,Acetone 1 ppm
0.97621,0.09677,0.43243,0.95652,0.05495,,,Acetone 1 ppm
0.9771,0.09091,0.43243,0.95652,0.05576,,,Acetone 1 ppm
0.9748,0.08955,0.42105,0.95652,0.05682,,,Acetone 1 ppm
0.97303,0.09375,0.43243,0.95652,0.05769,,,Acetone 1 ppm
,0.10169,0.43243,0.95652,0.05859,,,Acetone 1 ppm
,0.10714,0.43243,0.95652,0.05976,,,Acetone 1 ppm
,0.11538,0.43243,0.95652,0.06073,,,Acetone 1 ppm
,0.12766,0.44444,0.95652,0.06098,,,Acetone 1 ppm
,0.13953,0.44444,0.95652,0.06098,,,Acetone 1 ppm
,0.15,0.45714,0.95652,0.0625,,,Acetone 1 ppm
,0.13953,0.48485,0.95652,0.06438,,,Acetone 1 ppm
,0.15,0.5,0.95652,0.06608,,,Acetone 1 ppm
,0.17647,0.51613,0.95652,0.06849,,,Acetone 1 ppm
,0.17647,0.53333,0.73333,0.07009,,,Acetone 1 ppm
,0.18182,0.53333,0.44898,0.07109,,,Acetone 1 ppm
,0.21429,0.55172,0.37288,0.07317,,,Acetone 1 ppm
,0.24,0.57143,0.35484,0.07576,,,Acetone 1 ppm
,0.21429,0.59259,0.33846,0.07653,,,Acetone 1 ppm
,0.25,0.59259,0.31429,0.07653,,,Acetone 1 ppm
,0.25,0.59259,0.27848,0.07813,,,Acetone 1 ppm
,0.25,0.61538,0.25581,0.08065,,,Acetone 1 ppm
,0.26087,0.61538,0.24444,0.08242,,,Acetone 1 ppm
,0.28571,0.64,0.23404,0.08427,,,Acetone 1 ppm
,0.31579,0.64,0.2268,0.08721,,,Acetone 1 ppm
,0.33333,0.64,0.2268,0.09091,,,Acetone 1 ppm
,0.35294,0.64,0.22917,0.09317,,,Acetone 1 ppm
,0.375,0.64,0.22917,0.09494,,,Acetone 1 ppm
,0.35294,0.64,0.22917,0.09494,,,Acetone 1 ppm
,0.28571,0.66667,0.22917,0.09554,,,Acetone 1 ppm
,0.26087,0.66667,0.23158,0.09804,,,Acetone 1 ppm
,0.31579,0.66667,0.23656,0.10204,,,Acetone 1 ppm
,0.375,0.69565,0.24176,0.10714,,,Acetone 1 ppm
,0.375,0.69565,0.24719,0.11111,,,Acetone 1 ppm
,0.35294,0.69565,0.25,0.11364,,,Acetone 1 ppm
,0.31579,0.69565,0.25287,0.11538,,,Acetone 1 ppm
,0.28571,0.69565,0.25581,0.11719,,,Acetone 1 ppm
,0.27273,0.72727,0.25882,0.12,,,Acetone 1 ppm
,0.27273,0.72727,0.26506,0.125,,,Acetone 1 ppm
,0.31579,0.72727,0.26829,0.12931,,,Acetone 1 ppm
,0.35294,,0.275,0.13043,,,Acetone 1 ppm
,0.4,,0.28205,0.13043,,,Acetone 1 ppm
,0.33333,,0.28947,0.13043,,,Acetone 1 ppm
,0.31579,,0.2973,0.13274,,,Acetone 1 ppm
,0.33333,,0.30556,0.13636,,,Acetone 1 ppm
,0.375,,0.30986,0.14019,,,Acetone 1 ppm
,0.375,,0.31429,0.14423,,,Acetone 1 ppm
,0.4,,0.32353,0.15,,,Acetone 1 ppm
,0.42857,,0.32836,0.15464,,,Acetone 1 ppm
,0.46154,,0.33333,0.15957,,,Acetone 1 ppm
,0.46154,,0.33846,0.16304,,,Acetone 1 ppm
,0.5,,0.34375,0.16667,,,Acetone 1 ppm
,0.5,,0.35484,0.17045,,,Acetone 1 ppm
,0.5,,0.36667,0.17857,,,Acetone 1 ppm
,0.5,,0.37931,0.19231,,,Acetone 1 ppm
,0.6,,0.38596,0.20548,,,Acetone 1 ppm
,0.6,,0.37931,0.22388,,,Acetone 1 ppm
,0.66667,,0.37931,0.24194,,,Acetone 1 ppm
,0.75,,0.38596,0.25424,,,Acetone 1 ppm
,0.75,,0.38596,0.27273,,,Acetone 1 ppm
,0.75,,0.39286,0.28302,,,Acetone 1 ppm
,0.75,,0.40741,0.3,,,Acetone 1 ppm
,0.85714,,0.41509,0.31915,,,Acetone 1 ppm
,0.85714,,0.42308,0.34091,,,Acetone 1 ppm
,0.85714,,0.42308,0.34884,,,Acetone 1 ppm
,1.0,,0.43137,0.36585,,,Acetone 1 ppm
,0.85714,,0.43137,0.38462,,,Acetone 1 ppm
,0.85714,,0.43137,0.40541,,,Acetone 1 ppm
,0.85714,,0.43137,0.42857,,,Acetone 1 ppm
,1.0,,0.43137,0.44118,,,Acetone 1 ppm
,1.0,,0.42308,0.45455,,,Acetone 1 ppm
,1.0,,0.40741,0.46875,,,Acetone 1 ppm
,1.0,,0.4,0.48387,,,Acetone 1 ppm
,1.0,,0.39286,0.5,,,Acetone 1 ppm
,1.0,,0.4,0.51724,,,Acetone 1 ppm
,1.2,,0.41509,0.53571,,,Acetone 1 ppm
,1.2,,0.42308,0.53571,,,Acetone 1 ppm
,1.2,,0.44,0.53571,,,Acetone 1 ppm
,1.0,,0.44898,0.53571,,,Acetone 1 ppm
,1.0,,0.45833,0.53571,,,Acetone 1 ppm
,1.0,,0.46809,0.55556,,,Acetone 1 ppm
,1.0,,0.47826,0.55556,,,Acetone 1 ppm
,1.2,,0.5,0.55556,,,Acetone 1 ppm
,1.2,,0.51163,0.55556,,,Acetone 1 ppm
,1.2,,0.51163,0.57692,,,Acetone 1 ppm
,1.2,,0.52381,0.57692,,,Acetone 1 ppm
,1.2,,0.55,0.6,,,Acetone 1 ppm
,1.2,,0.5641,0.6,,,Acetone 1 ppm
,1.2,,0.5641,0.6,,,Acetone 1 ppm
,1.2,,0.57895,0.6,,,Acetone 1 ppm
,1.2,,0.57895,0.6,,,Acetone 1 ppm
,1.2,,0.57895,0.6,,,Acetone 1 ppm
,1.2,,0.59459,0.625,,,Acetone 1 ppm
,1.2,,0.59459,0.625,,,Acetone 1 ppm
,1.2,,0.59459,0.625,,,Acetone 1 ppm
,1.2,,0.61111,0.625,,,Acetone 1 ppm
,1.2,,0.61111,0.625,,,Acetone 1 ppm
,1.2,,0.62857,0.625,,,Acetone 1 ppm
,1.2,,0.62857,0.625,,,Acetone 1 ppm
,1.2,,0.64706,0.625,,,Acetone 1 ppm
,1.2,,0.64706,0.65217,,,Acetone 1 ppm
,1.2,,0.66667,0.65217,,,Acetone 1 ppm
